target,family,dose,trackwise_pier,track_mean_response_pier,cancellation_gap,relative_hidden_fraction,between_track_std,between_track_range,endpoint_sign_changed_from_v21
microsoft/phi-4,irrelevant_context,64.0,0.24674946600943143,0.23460474433934508,0.012144721670086326,0.04912194727099324,0.0029523700931373075,0.007114607553888072,False
microsoft/phi-4,irrelevant_context,128.0,0.2520958098758359,0.24210642853095748,0.009989381344878399,0.03956704116048187,0.007501410107684096,0.01678328818650764,False
microsoft/phi-4,irrelevant_context,256.0,0.2567007341040133,0.2473543512015739,0.009346382902439384,0.036408165519534415,0.003900646120721534,0.008880330663803981,False
microsoft/phi-4,irrelevant_context,512.0,0.2522455193528809,0.2465824285193534,0.005663090833527532,0.022453291284345405,0.0037949063256815284,0.008993444802419991,False
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.0,0.17209282752173832,0.17209282752173832,0.0,0.0,0.0,0.0,False
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.1,0.16738977024017684,0.16065666734134804,0.006733102898828799,0.04030824045239742,0.003659952484617428,0.008302390427856738,False
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.2,0.16368734032381424,0.1514489116546786,0.012238428669135623,0.07478169512865142,0.004109249580805393,0.009463814054389483,False
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.3,0.1558576034104811,0.1420993766913812,0.013758226719099908,0.08830965217453715,0.0041565732628857,0.009757684323491406,False
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.4,0.14543283662731682,0.12930869345241197,0.01612414317490488,0.11103648147137639,0.0035781461230277797,0.008527244840815943,False
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,0.0,0.17276312447599967,0.17276312447599967,0.0,0.0,0.0,0.0,False
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,64.0,0.16766703139053177,0.1605704472802572,0.007096584110274551,0.04237214513069889,0.0030757105674589216,0.007137734075358235,False
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,128.0,0.16771523389559923,0.1605677353478574,0.007147498547741824,0.042649060646810344,0.002453984545286982,0.005702889876725939,False
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,256.0,0.15956198369864222,0.15261669163332642,0.006945292065315786,0.043697414636310584,0.0032940645206534593,0.007696949348127905,False
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,512.0,0.1568567729384267,0.1510184254838084,0.005838347454618314,0.037351258283563483,0.0021484260112448685,0.005056916967878744,False
