target,family,split_seed,dose,weight_source,mean_total_variation,mean_jensen_shannon_divergence,top1_semantic_answer_agreement,correctness_agreement,vector_overall_total_variation,vector_endpoint_delta,scalar_endpoint_delta,endpoint_direction_support,fit_selected_single_peer,single_peer_overall_total_variation,vector_convexity_improvement,scalar_convexity_improvement,convexity_direction_support,vector_sibling_removal_inflation,scalar_sibling_removal_inflation,sibling_direction_support,scalar_vector_weight_l1_change,scalar_vector_weight_l2_change
microsoft/phi-4,content_deletion,20260829,0.40000000000000002,scalar_fitted,0.44123749621106939,0.19104506467156332,0.61428571428571432,0.79880952380952386,0.42305922948267638,0.036648040909369017,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.019630788175908687,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0,vector_fitted,0.41089158108980106,0.17881945115866058,0.6785714285714286,0.8392857142857143,0.42616814334236697,0.030431353436493558,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.016521874316218099,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.10000000000000001,vector_fitted,0.41822350805703018,0.18130518386852446,0.66666666666666674,0.82023809523809532,0.42616814334236697,0.030431353436493558,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.016521874316218099,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.20000000000000001,vector_fitted,0.42271187669912907,0.18117629725080506,0.65595238095238106,0.80119047619047623,0.42616814334236697,0.030431353436493558,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.016521874316218099,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.29999999999999999,vector_fitted,0.43769081633957985,0.1887160404017493,0.62857142857142856,0.794047619047619,0.42616814334236697,0.030431353436493558,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.016521874316218099,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.40000000000000002,vector_fitted,0.44132293452629462,0.1900366101312162,0.6154761904761904,0.80119047619047623,0.42616814334236697,0.030431353436493558,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.016521874316218099,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260830,0,scalar_fitted,0.40841262297963549,0.17837951906357097,0.625,0.82499999999999996,0.43705973155331712,0.044112477378905335,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.022967336356145562,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.10000000000000001,scalar_fitted,0.43534389610319552,0.18978552794167797,0.60238095238095235,0.79761904761904756,0.43705973155331712,0.044112477378905335,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.022967336356145562,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.20000000000000001,scalar_fitted,0.43862908179750071,0.18854025792854634,0.61071428571428577,0.80714285714285716,0.43705973155331712,0.044112477378905335,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.022967336356145562,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.29999999999999999,scalar_fitted,0.45038795652771285,0.19289443211539542,0.58452380952380956,0.79166666666666674,0.43705973155331712,0.044112477378905335,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.022967336356145562,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
