ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
negation,has_negation,DistilBERT,0.30000000000000004,0.09891853246488823,0.09967633308186336,99,980,197
negation,has_negation,DistilBERT,0.4,0.10595523222867795,0.08677675525893423,99,980,197
negation,has_negation,DistilBERT,0.5,0.10126950165739361,0.0836872104502979,99,980,197
negation,has_negation,DistilBERT,0.6000000000000001,0.1203325578438212,0.1019020597129498,99,980,197
negation,has_negation,DistilBERT,0.7000000000000001,0.1703752853291562,0.1220743502637315,99,980,197
negation,has_negation,DistilBERT,0.8,0.28133664942953046,0.13372239894529325,99,980,197
negation,has_negation,DistilBERT,0.9,0.3336243893217571,0.10196126957220511,99,980,197
negation,has_negation,RoBERTa,0.0,0.059678005731844806,0.14696747710615832,99,980,197
negation,has_negation,RoBERTa,0.1,0.08159312369784057,0.14969071505411577,99,980,197
negation,has_negation,RoBERTa,0.2,0.09198930992841126,0.17290345843888902,99,980,197
negation,has_negation,RoBERTa,0.30000000000000004,0.11612659410585871,0.17536187914667187,99,980,197
negation,has_negation,RoBERTa,0.4,0.12644602452666057,0.17442919940813548,99,980,197
negation,has_negation,RoBERTa,0.5,0.1488232124346565,0.1912365723203244,99,980,197
negation,has_negation,RoBERTa,0.6000000000000001,0.16818704826763134,0.19210064947750885,99,980,197
negation,has_negation,RoBERTa,0.7000000000000001,0.14891015934757262,0.1490600585836974,99,980,197
negation,has_negation,RoBERTa,0.8,0.14294507757533279,0.1223464057318417,99,980,197
negation,has_negation,RoBERTa,0.9,0.1817605945710811,0.12990776351152486,99,980,197
negation,has_negation,ALBERT,0.0,0.23945592435705965,0.15414430739148693,99,980,197
negation,has_negation,ALBERT,0.1,0.25339515180507577,0.1297530941269712,99,980,197
negation,has_negation,ALBERT,0.2,0.22404875020959733,0.10972837888195625,99,980,197
negation,has_negation,ALBERT,0.30000000000000004,0.18330290629460605,0.07864586879499925,99,980,197
negation,has_negation,ALBERT,0.4,0.18105714570166573,0.07544581766566888,99,980,197
negation,has_negation,ALBERT,0.5,0.16716436871826343,0.08252564598641626,99,980,197
negation,has_negation,ALBERT,0.6000000000000001,0.15880490749517792,0.08984994682676328,99,980,197
negation,has_negation,ALBERT,0.7000000000000001,0.13102005601931177,0.08368767324234055,99,980,197
negation,has_negation,ALBERT,0.8,0.15160099302626245,0.1203313995712448,99,980,197
negation,has_negation,ALBERT,0.9,0.1088608775796689,0.10620477841661392,99,980,197
negation,has_negation,XLNet,0.0,0.11148425948561204,0.1572312579884,99,980,197
negation,has_negation,XLNet,0.1,0.12156606125946684,0.15602298220986438,99,980,197
negation,has_negation,XLNet,0.2,0.1317586745504013,0.1543413200175804,99,980,197
negation,has_negation,XLNet,0.30000000000000004,0.15819041425703276,0.14968604047328998,99,980,197
negation,has_negation,XLNet,0.4,0.16537048542470317,0.1261084601376509,99,980,197
negation,has_negation,XLNet,0.5,0.16689384150891856,0.15216955702132173,99,980,197
negation,has_negation,XLNet,0.6000000000000001,0.19454598343623358,0.16434623970669363,99,980,197
negation,has_negation,XLNet,0.7000000000000001,0.1655084477525492,0.14861241944866552,99,980,197
negation,has_negation,XLNet,0.8,0.1311360413486457,0.09611639681334329,99,980,197
negation,has_negation,XLNet,0.9,0.15589630119830597,0.10215543709911543,99,980,197
negation,no_negation,BERT,0.0,0.03945922063409868,0.1388353631069776,100,1000,675
negation,no_negation,BERT,0.1,0.035612214339125085,0.10047134896097691,100,1000,675
negation,no_negation,BERT,0.2,0.045112151483650706,0.12043474225478179,100,1000,675
negation,no_negation,BERT,0.30000000000000004,0.06564926478056896,0.0911251493231625,100,1000,675
negation,no_negation,BERT,0.4,0.10588419826622193,0.14089974412195697,100,1000,675
negation,no_negation,BERT,0.5,0.1307756266063072,0.18206419258924045,100,1000,675
negation,no_negation,BERT,0.6000000000000001,0.1644174349635133,0.1783877409167642,100,1000,675
negation,no_negation,BERT,0.7000000000000001,0.14121546678062571,0.1476280621308072,100,1000,675
negation,no_negation,BERT,0.8,0.1956129038231005,0.17607448932971684,100,1000,675
negation,no_negation,BERT,0.9,0.20764543682634035,0.14807316248791327,100,1000,675
negation,no_negation,DistilBERT,0.0,0.4059464638926204,0.229664184528524,100,1000,675
negation,no_negation,DistilBERT,0.1,0.41249012671696383,0.1936526095536426,100,1000,675
negation,no_negation,DistilBERT,0.2,0.41761697138956744,0.18603661296688237,100,1000,675
negation,no_negation,DistilBERT,0.30000000000000004,0.19921572761174403,0.1879638660024778,100,1000,675
negation,no_negation,DistilBERT,0.4,0.12564553961219152,0.12497538126441607,100,1000,675
negation,no_negation,DistilBERT,0.5,0.11534563376337814,0.09025860922591186,100,1000,675
negation,no_negation,DistilBERT,0.6000000000000001,0.13087358002382435,0.109140340356771,100,1000,675
negation,no_negation,DistilBERT,0.7000000000000001,0.18662706301094276,0.12593557806538697,100,1000,675
negation,no_negation,DistilBERT,0.8,0.212201371246769,0.14491158025092546,100,1000,675
negation,no_negation,DistilBERT,0.9,0.2907155691400732,0.135479720480084,100,1000,675
negation,no_negation,RoBERTa,0.0,0.03443838568802535,0.13323692664502304,100,1000,675
negation,no_negation,RoBERTa,0.1,0.03595739345553337,0.10123383073003785,100,1000,675
