Eval_Point,BERT_Uniqueness_R,BERT_Redundancy_R,DistilBERT_Uniqueness_R,DistilBERT_Redundancy_R,RoBERTa_Uniqueness_R,RoBERTa_Redundancy_R,ALBERT_Uniqueness_R,ALBERT_Redundancy_R,XLNet_Uniqueness_R,XLNet_Redundancy_R
Sample 85 $\theta=0.50$,0.3288943933915096,1.1102230246251565e-16,0.12571454016612366,1.6653345369377348e-16,0.2658702463709057,1.1102230246251565e-15,0.04903945830810852,3.885780586188048e-16,0.05206379976663622,2.220446049250313e-16
Sample 85 $\theta=0.60$,0.06573021449402316,2.220446049250313e-16,0.040058633231278895,2.220446049250313e-16,0.17716604357954086,8.326672684688674e-16,0.1336214446330775,2.7755575615628914e-16,0.30585442829153664,1.6583956430338276e-15
Sample 85 $\theta=0.70$,0.8247515265571878,1.1102230246251565e-15,0.23200630200755756,0.0,0.26722405544037414,1.6653345369377348e-15,0.12351133129728809,3.3306690738754696e-16,0.30739531186931784,1.8596235662471372e-15
Sample 85 $\theta=0.80$,0.11548979638459977,5.551115123125783e-16,0.40600396927952814,2.2898349882893854e-16,0.011524779288300868,5.551115123125783e-16,0.014777803952761959,4.440892098500626e-16,0.0970215644659489,1.1102230246251565e-16
Sample 85 $\theta=0.90$,0.0627042192413958,4.440892098500626e-16,0.39509117414748857,1.8041124150158794e-16,0.26616361382828724,9.992007221626409e-16,0.124423092875599,3.885780586188048e-16,0.23347291072148912,1.5543122344752192e-15
Sample 86 $\theta=0.00$,0.00372713470319308,5.551115123125783e-16,0.5295610150391842,1.1102230246251565e-16,0.00047371455186984157,5.551115123125783e-16,0.2928089164820278,7.771561172376096e-16,0.03571734239164037,4.440892098500626e-16
Sample 86 $\theta=0.10$,0.002173218114970621,5.551115123125783e-16,0.5826347187534776,1.6653345369377348e-16,0.0006141716001615283,5.551115123125783e-16,0.32604160410208116,7.771561172376096e-16,0.0380219950359606,4.440892098500626e-16
Sample 86 $\theta=0.20$,0.19422411122056005,2.220446049250313e-16,0.3494999159624611,5.551115123125783e-17,0.08447308517909868,0.0,0.169687873859643,6.661338147750939e-16,0.09602746281548902,1.1102230246251565e-16
Sample 86 $\theta=0.30$,0.07574203136031021,6.661338147750939e-16,0.012752590281252585,2.7755575615628914e-16,0.015185058770591287,3.3306690738754696e-16,0.2329022979146309,3.885780586188048e-16,0.08958728124832871,1.1102230246251565e-16
Sample 86 $\theta=0.40$,0.0799413642860256,6.661338147750939e-16,0.1127247292020635,5.551115123125783e-16,0.011222463797131543,2.220446049250313e-16,0.3063603582057013,3.885780586188048e-16,0.08414262643306702,2.220446049250313e-16
