ContextType,ContextLabel,TargetModel,Dose,MeanDisagreement,StdDisagreement,NumPoints,ContextRawSize
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.1,0.15066295320910286,0.11100275333806045,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.2,0.18041919560168027,0.13052552867386052,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.30000000000000004,0.29228222696398004,0.09711368481145828,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.4,0.31346876438867183,0.06992591378432254,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.5,0.30999361776586737,0.07049727938655546,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.6000000000000001,0.3078502875327831,0.08230208884942436,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.7000000000000001,0.2898758619185537,0.0890434339692001,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.8,0.3007035690144403,0.09287391180330369,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.9,0.30303498379355004,0.08140262171666561,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.0,0.12879055274654092,0.10495254223375533,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.1,0.14418812566131237,0.10542071429597846,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.2,0.16686491336731707,0.1042461431065401,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.30000000000000004,0.22416555531919585,0.09392827086667951,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.4,0.2403280373571033,0.08288045189136584,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.5,0.25022136223509733,0.08995554420960124,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.6000000000000001,0.2502673471083108,0.09463618720013231,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.7000000000000001,0.23296738649034524,0.09660827752846408,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.8,0.2600076037782128,0.10018667758855812,200,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.9,0.2610445097864431,0.07826937712918516,200,406
sentiment,sent_strong_positive_(p>=0.8),BERT,0.0,0.1918791999761015,0.13472333373924839,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.1,0.19402188365231268,0.12425192639980655,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.2,0.20852715411616374,0.12115002553250061,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.30000000000000004,0.27510384228022305,0.08109714084287939,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.4,0.30488521984167166,0.09883212599370976,200,438
