City,HorizonSteps,MeanFlow_Test,Local_MAE_Ratio,Persist_MAE,Skill_vs_Persist,Local_Train_MAE,Global_Train_MAE,Local_MAE,Global_MAE,Router_MAE,Delta_Global,Delta_Router,PIER,FitDistance,PairwiseMeanAbsDiff,ClosestPeerName,ClosestPeerMeanAbsDiff,WeightEntropy,WeightEntropyNorm,EffectivePeers_HHI,TopPeer1,TopPeer1Weight,TopPeer2,TopPeer2Weight,TopPeer3,TopPeer3Weight,TopKMass3,NumNonZeroWeights,NumTrain,NumVal,NumTest,NumFitSamples,NumEvalSamples,NumPeers,CacheHash,ModelType
rotterdam,12,245.39994488692932,0.28423735606763356,89.77327193855781,0.22302228706175498,67.35262968699337,94.13977233656773,69.75183151380378,78.22668414302312,74.37058894508228,8.474852629219342,4.618757431278496,50.31881005508612,3631.21758442093,322.09022383258247,darmstadt,50.63744895433082,1.628828713693328,0.4743257958462709,4.341497886691554,essen,0.3559135643432627,kassel,0.20087035302587014,darmstadt,0.18742641820864359,0.7442103355777765,15,172532,56154,56248,4000,4000,31,abd00d5cef12,histgb
santander,12,377.7629489444757,0.47121444034545923,142.94872008068592,-0.24525323815174424,90.23280150786127,126.03741685506967,178.0073565701214,126.69591397453513,182.31455762425833,-51.31144259558627,4.307201054136925,152.40805192788568,13168.894394325382,232.39661166470688,GLOBAL,124.8896981860014,1.3814228628324796,0.4022795603397115,3.8228740949663336,toronto,0.32159839881627766,paris,0.26531506127559956,constance,0.2504051790282042,0.8373186391200815,18,289970,95484,95484,4000,4000,31,abd00d5cef12,histgb
speyer,12,140.5657,0.310350396735352,56.2933,0.22504772748475466,41.789054041792085,48.14107827145288,43.62462076238246,48.017159658523816,45.38651733525647,4.392538896141353,1.761896572874008,9.747970689917379,1051.4059401397715,47.1949839052189,bremen,10.243108219171635,1.311244236104298,0.3818430757085163,3.2358929383190445,bremen,0.4605498219850324,constance,0.2188779496926597,darmstadt,0.17042282514958637,0.8498505968272785,11,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
strasbourg,12,268.24285,0.30844345662133527,98.90775,0.16348565336934323,72.06586642945402,79.70216468370367,82.73775186795834,84.63669678112748,81.60069691939776,1.8989449131691458,-1.137054948560575,15.944252445326386,1601.9101500938086,97.3759174484589,bremen,25.4202873636465,2.3142876538424098,0.6739360154923432,8.576022381511962,hamburg,0.19601668676016729,zurich,0.15337250811860034,cagliari,0.11146031316438412,0.4608495080431517,18,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
stuttgart,12,314.02695853384216,0.1889434847322657,80.06963972933606,0.25897820889632184,52.91354834346321,70.03981918251677,59.333347845258835,69.5585953949881,65.28953397156268,10.225247549729268,5.956186126303841,26.202103210129042,2631.5327449458073,86.27259374518844,augsburg,34.00473533109033,1.8177604315558606,0.5293439734375467,5.555565337301272,london,0.23788951959886526,toronto,0.21152024599552044,basel,0.19873863228491928,0.648148397879305,22,300000,108466,108474,4000,4000,31,abd00d5cef12,histgb
taipeh,12,539.2331166668,0.2598945751569975,168.58895,0.1687251046601711,135.09697129966528,163.8512058466146,140.14376176670166,155.4602820450896,145.70177650828498,15.31652027838794,5.558014741583321,43.30881910512134,5687.814788824276,273.3549885809245,strasbourg,58.818737824359914,1.6822456156748904,0.4898811543262892,4.475443073008507,GLOBAL,0.3160749152820915,cagliari,0.2469910090865282,marseille,0.22274741942585294,0.7858133437944727,31,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
torino,12,394.89132,0.20441682547022844,124.25184,0.35033211548297294,81.57531506144667,122.14173026306118,80.72243004014813,113.95218057973797,96.13129642123054,33.229750539589844,15.408866381082419,47.21398835438023,6121.07003166038,502.7761622961856,manchester,64.59898168862871,1.9174318109189579,0.5583689445361333,5.3309570201926215,manchester,0.30496558527135603,bordeaux,0.24601424636143346,toronto,0.10830927076343896,0.6592891023962285,19,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
toronto,12,267.22838768978534,0.2966365357846128,133.51649557014318,0.40629281161771597,79.03815255319213,115.59906987430988,79.26970318760539,118.82454031050172,104.78746866477385,39.55483712289633,25.517765477168467,55.192738997267924,4851.88368019514,98.62043798259653,essen,58.90117160602474,1.285368419917219,0.37430786528219834,2.901637090345111,essen,0.5141344963539691,stuttgart,0.24062507461106625,constance,0.11815513231181499,0.8729147032768504,19,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
toulouse,12,443.967505,0.2101890541305557,124.843335,0.2525262967329993,89.2039506291767,118.3602292882068,93.31710994065276,108.64359119139176,98.04241615361263,15.326481250739008,4.725306212959879,31.71315609712896,3467.2331136595853,212.1046665329729,marseille,35.963381849772695,1.3171188811612338,0.3835538115695186,2.8454097877536673,marseille,0.5149456030262187,torino,0.2695498149142015,manchester,0.08139458319341518,0.8658900011338354,18,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
wolfsburg,12,160.69628542395844,0.32352956210129924,65.45726543976515,0.20574135651357578,56.05402954515446,68.47053109024262,51.98999885451867,60.874352400849666,57.24420680143207,8.884353546330999,5.254207946913404,19.10467621840581,2913.2464687225242,59.356371852093105,bremen,18.780485760526158,1.3312580926120237,0.38767124434047434,2.7046775936251937,bremen,0.5714384967707747,graz,0.1333784076758321,stuttgart,0.09935473298939845,0.8041716374360053,25,300000,177134,177140,4000,4000,31,abd00d5cef12,histgb
zurich,12,197.1636,0.30680561445612303,67.9091,0.10923720905767768,53.2535545541698,59.30537358049512,60.490899446381256,58.81050412733427,59.21166461765501,-1.680395319046987,-1.2792348287262456,13.764406807194,1511.508836165077,53.38996179506393,bremen,19.61417202290949,1.9528126761947877,0.5686720887148939,5.779057499036995,hamburg,0.29038988541814853,london,0.17565840319286602,stuttgart,0.1707257185087837,0.6367740071197983,30,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
