City,PeerName,Weight,Rank,HorizonSteps,CacheHash,ModelType
constance,manchester,-6.268967639721196e-06,26,12,abd00d5cef12,histgb
constance,bolton,-6.290932262470241e-06,27,12,abd00d5cef12,histgb
constance,taipeh,-7.318251837013494e-06,28,12,abd00d5cef12,histgb
constance,cagliari,-7.39734687508175e-06,29,12,abd00d5cef12,histgb
constance,torino,-7.724875130254663e-06,30,12,abd00d5cef12,histgb
constance,paris,-1.09668636997997e-05,31,12,abd00d5cef12,histgb
darmstadt,speyer,0.3386442633261989,1,12,abd00d5cef12,histgb
darmstadt,hamburg,0.29888235294086934,2,12,abd00d5cef12,histgb
darmstadt,bremen,0.15292065599598573,3,12,abd00d5cef12,histgb
darmstadt,rotterdam,0.11399581274473326,4,12,abd00d5cef12,histgb
darmstadt,santander,0.06847840562443512,5,12,abd00d5cef12,histgb
darmstadt,wolfsburg,0.027048528957388497,6,12,abd00d5cef12,histgb
darmstadt,bolton,4.163866236834191e-05,7,12,abd00d5cef12,histgb
darmstadt,manchester,3.7707713898980496e-05,8,12,abd00d5cef12,histgb
darmstadt,bordeaux,3.5066216617808136e-05,9,12,abd00d5cef12,histgb
darmstadt,stuttgart,3.0967838557232025e-05,10,12,abd00d5cef12,histgb
darmstadt,basel,3.0866255201600025e-05,11,12,abd00d5cef12,histgb
darmstadt,torino,2.098489828178013e-05,12,12,abd00d5cef12,histgb
darmstadt,strasbourg,1.3237372977879419e-05,13,12,abd00d5cef12,histgb
darmstadt,augsburg,1.2552018265128116e-05,14,12,abd00d5cef12,histgb
darmstadt,constance,1.2251936485066784e-05,15,12,abd00d5cef12,histgb
darmstadt,toulouse,1.1443672461298162e-05,16,12,abd00d5cef12,histgb
darmstadt,london,9.661159160291146e-06,17,12,abd00d5cef12,histgb
darmstadt,GLOBAL,9.385042452726206e-06,18,12,abd00d5cef12,histgb
darmstadt,zurich,7.3388305190621885e-06,19,12,abd00d5cef12,histgb
darmstadt,essen,6.587019728863388e-06,20,12,abd00d5cef12,histgb
darmstadt,marseille,6.575164052421541e-06,21,12,abd00d5cef12,histgb
darmstadt,graz,6.1228087048373135e-06,22,12,abd00d5cef12,histgb
darmstadt,taipeh,1.08581078214604e-06,23,12,abd00d5cef12,histgb
darmstadt,madrid,5.359433880282223e-07,24,12,abd00d5cef12,histgb
darmstadt,luzern,3.646162359487547e-07,25,12,abd00d5cef12,histgb
darmstadt,kassel,-3.6443816799693482e-06,26,12,abd00d5cef12,histgb
darmstadt,cagliari,-3.6490933570827287e-06,27,12,abd00d5cef12,histgb
darmstadt,bern,-4.233329792174819e-06,28,12,abd00d5cef12,histgb
darmstadt,toronto,-1.0401063361736779e-05,29,12,abd00d5cef12,histgb
darmstadt,losangeles,-2.7672110809926568e-05,30,12,abd00d5cef12,histgb
darmstadt,paris,-0.00021425925537431353,31,12,abd00d5cef12,histgb
essen,augsburg,0.502648214012453,1,12,abd00d5cef12,histgb
essen,toronto,0.15590067254496107,2,12,abd00d5cef12,histgb
essen,graz,0.1344349039930751,3,12,abd00d5cef12,histgb
essen,stuttgart,0.07730584895466994,4,12,abd00d5cef12,histgb
essen,darmstadt,0.04703082343556829,5,12,abd00d5cef12,histgb
essen,hamburg,0.03790449454225384,6,12,abd00d5cef12,histgb
essen,santander,0.029605235194787236,7,12,abd00d5cef12,histgb
essen,basel,0.012166071926965982,8,12,abd00d5cef12,histgb
essen,wolfsburg,0.0030018537378490567,9,12,abd00d5cef12,histgb
essen,cagliari,1.9352740936959404e-05,10,12,abd00d5cef12,histgb
essen,manchester,1.9078842992582267e-05,11,12,abd00d5cef12,histgb
essen,bern,1.6928535377810452e-05,12,12,abd00d5cef12,histgb
essen,taipeh,1.413705833589634e-05,13,12,abd00d5cef12,histgb
essen,toulouse,1.0403728409178926e-05,14,12,abd00d5cef12,histgb
essen,strasbourg,1.0155492512897185e-05,15,12,abd00d5cef12,histgb
essen,bremen,9.53409552687924e-06,16,12,abd00d5cef12,histgb
essen,marseille,9.302719291992123e-06,17,12,abd00d5cef12,histgb
essen,torino,8.321920771594298e-06,18,12,abd00d5cef12,histgb
essen,madrid,5.552127652800277e-06,19,12,abd00d5cef12,histgb
essen,luzern,5.553962263931643e-07,20,12,abd00d5cef12,histgb
essen,zurich,-3.7013918944334263e-07,21,12,abd00d5cef12,histgb
essen,losangeles,-2.5405163357531374e-06,22,12,abd00d5cef12,histgb
essen,rotterdam,-3.248605959439938e-06,23,12,abd00d5cef12,histgb
essen,bordeaux,-4.660767979725695e-06,24,12,abd00d5cef12,histgb
essen,GLOBAL,-7.715019276211237e-06,25,12,abd00d5cef12,histgb
essen,london,-1.0154942337880089e-05,26,12,abd00d5cef12,histgb
essen,paris,-1.1848339916259894e-05,27,12,abd00d5cef12,histgb
essen,constance,-1.3921207026671964e-05,28,12,abd00d5cef12,histgb
essen,kassel,-1.4886889864735258e-05,29,12,abd00d5cef12,histgb
essen,speyer,-2.0456074616830552e-05,30,12,abd00d5cef12,histgb
essen,bolton,-3.173562197574361e-05,31,12,abd00d5cef12,histgb
graz,constance,0.20062680239647332,1,12,abd00d5cef12,histgb
graz,augsburg,0.17583778012220527,2,12,abd00d5cef12,histgb
graz,stuttgart,0.10374828757918088,3,12,abd00d5cef12,histgb
graz,basel,0.10033652628029816,4,12,abd00d5cef12,histgb
graz,darmstadt,0.08681900327776385,5,12,abd00d5cef12,histgb
graz,speyer,0.06110036620146802,6,12,abd00d5cef12,histgb
